Number 50 6 1 149
Ryan 17 57 10 179
Taylor 2 38 9 42
Number 24 49 9 80
Getka 36 84 10 95
Sam 2 92 4 138
Taylor 25 49 1 180
Number 21 13 1 79
Computer 2 7 8 141
Taylor 19 22 5 129
Taylor 7 45 5 169
Business 19 61 7 49
Computer 46 27 4 34
Number 28 61 9 175
Taylor 4 78 9 119
Sam 16 77 3 9
Getka 6 55 5 103
Business 23 20 4 143
Computer 42 52 9 184
Number 22 92 3 172
Computer 22 57 2 84
Ryan 40 22 5 150
Sam 25 63 8 59
Taylor 14 55 2 16
Ryan 40 90 10 165
Number 4 31 8 181
Ryan 31 61 3 146
Number 12 77  3 56
Computer 29 85 6 22
Computer 14 86 9 49
Computer 3 20  3 30
Ryan 18 14 7 60
Getka 12 4 7 104
Business 13 31 10 96
Number 38 98 7 164
Getka 38 46 4 182
Sam 18 3 5 48
Getka 38 83 7 167
Computer 14 67 9 148
Taylor 44 26 2 60
Ryan 22 87 1 154
Business 22 83 5 128
Ryan 50 23 5 191
Computer 23 20 10 77
Sam 50 50 3 25
Ryan 28 42 4 198
Business 27 96 3 10
Number 39 68 9 82
Number 15 56 8 108
Business 15 74 10 157
